Date,IEI,TLT
2014-02-14,116.457238,98.188102
2014-02-13,116.486013,98.132822
2014-02-12,116.188654,97.580066
2014-02-11,116.351725,98.086763
2014-02-10,116.620302,98.657941
2014-02-07,116.649077,98.381566
2014-02-06,116.409275,98.298649
2014-02-05,116.524382,98.722436
2014-02-04,116.716221,99.643698
2014-02-03,116.850509,100.712358
2014-01-31,116.50711,99.499977
2014-01-30,116.248357,98.838358
2014-01-29,116.29627,99.123226
2014-01-28,116.056682,98.314577
2014-01-27,115.903349,98.075665
2014-01-24,116.037518,98.76485
2014-01-23,115.807508,98.130797
2014-01-22,115.357088,96.761618
2014-01-21,115.548755,97.00053
2014-01-17,115.69251,96.927022
2014-01-16,115.567919,96.522698
2014-01-15,115.414586,95.879454
2014-01-14,115.520006,95.980535
2014-01-13,115.826679,96.421617
2014-01-10,115.625425,95.943785
2014-01-09,115.050414,94.813518
2014-01-08,114.90666,94.262171
2014-01-07,115.337916,94.519466
2014-01-06,115.242082,94.280546
2014-01-03,115.059993,93.885413
2014-01-02,115.146248,93.885413
2013-12-31,115.031243,93.600552
2013-12-30,115.165412,94.197848
2013-12-27,115.002494,93.554604
2013-12-26,115.012079,93.82109
2013-12-24,114.996741,94.184063
2013-12-23,115.226568,94.944279
2013-12-20,115.341474,95.484668
2013-12-19,115.456387,94.037513
2013-12-18,115.781971,94.129103
2013-12-17,115.973485,94.605386
2013-12-16,115.791541,94.184063
2013-12-13,115.743666,94.53211
2013-12-12,115.762815,94.07415
2013-12-11,115.983063,94.431359
2013-12-10,116.145851,95.164098
2013-12-09,115.944759,94.486319
2013-12-06,115.925603,94.266493
2013-12-05,115.983063,93.817694
2013-12-04,116.136274,94.083312
2013-12-03,116.346944,94.990071
2013-12-02,116.241609,94.642023
2013-11-29,116.497285,95.383914
2013-11-27,116.497285,95.356519
2013-11-26,116.573835,95.520895
2013-11-25,116.478151,95.164747
2013-11-22,116.411171,94.890791
2013-11-21,116.32505,94.014111
2013-11-20,116.286775,93.858869
2013-11-19,116.39203,95.484366
2013-11-18,116.583398,96.214931
2013-11-15,116.420735,95.639616
2013-11-14,116.449439,95.447838
2013-11-13,116.114541,94.863389
2013-11-12,115.837051,94.516375
2013-11-11,115.942306,94.078035
2013-11-08,115.971011,94.43419
2013-11-07,116.516419,96.76285
2013-11-06,116.401601,95.950101
2013-11-05,116.152816,95.904438
2013-11-04,116.31548,97.064208
2013-11-01,116.18152,96.97289
2013-10-31,116.481974,98.034025
2013-10-30,116.481974,97.824554
2013-10-29,116.606262,98.416541
2013-10-28,116.520216,98.289036
2013-10-25,116.548903,98.626019
2013-10-24,116.453295,98.261714
2013-10-23,116.520216,98.644231
2013-10-22,116.472419,98.261714
2013-10-21,116.147367,97.17791
2013-10-18,116.204734,97.487571
2013-10-17,116.185609,97.278094
2013-10-16,115.917923,96.403766
2013-10-15,115.631113,95.210675
2013-10-14,115.535512,95.274428
2013-10-11,115.755401,96.048571
2013-10-10,115.6598,96.075893
2013-10-09,115.669355,95.921066
2013-10-08,115.68848,96.695209
2013-10-07,115.831885,96.667887
